Compactness,Surface,Wall,Roof,Orientation,Glazing,WindowDist,TL
0.9,563.5,319.32,122.5,O2,0.4,WD2,35.84
0.82,612.5,319.1,147,O3,0.1,WD1,24.03
0.9,563.5,318.85,122.5,O2,0.4,WD5,35.67
0.98,514.5,293.93,110.25,O2,0.25,WD4,28.7
0.9,563.5,318.77,122.5,O5,0.1,WD4,29.79
0.82,612.5,319.05,147,O3,0.25,WD4,24.96
0.86,588,294.11,147,O5,0.1,WD4,27.03
0.9,563.5,318.39,122.5,O4,0.4,WD4,35.4
0.82,612.5,319.06,1470,O3,0.25,WD3,25.48
0.98,514.5,294.42,110.25,O2,0.1,WD4,24.38
0.86,588,294.64,147,O2,0.4,WD3,31.28
0.82,612.5,319.42,147,O5,0.4,WD1,28.65
0.9,563.5,319.35,122.5,O3,0.25,WD2,33.27
0.98,514.5,293.17,110.25,O3,0.25,WD5,28.58
0.82,612.5,317.73,147,O5,0.4,WD3,28.91
0.82,612.5,318.81,147,O3,0.4,WD3,29.67
0.86,588,293.01,147,O2,0.1,WD3,25.41
0.82,612.5,318.88,147,O5,0.1,WD5,23.86
0.9,563.5,318.92,122.5,O3,0.25,WD3,32.4
0.9,563.5,318.22,122.5,O4,0.4,WD2,36.06
0.9,563.5,319.49,122.5,O5,0.4,WD2,35.69
0.9,563.5,318.86,122.5,O3,0.4,WD2,36.57
0.82,612.5,318.88,147,O4,0.1,WD2,23.67
0.9,563.5,318.38,122.5,O3,0.1,WD1,29.87
0.86,588,294.57,147,O4,0.4,WD4,32.15
0.98,514.5,293.3,110.25,O5,0.4,WD5,32.73
0.86,588,294.05,147,O3,0.1,WD5,26.45
0.9,563.5,318.21,122.5,O3,0.1,WD5,29.08
0.9,563.5,319.1,122.5,O2,0.1,WD2,28.88
0.86,588,294.97,147,O2,0.25,WD3,28.4
0.82,612.5,319.48,147,O3,0.1,WD2,24.23
0.86,588,294.16,147,O2,0.1,WD5,27.03
0.86,588,293.51,147,O3,0.1,WD4,25.37
0.9,563.5,319.32,122.5,O4,0.1,WD5,28.03
0.86,588,294.43,147,O4,0.4,WD2,32.13
0.9,563.5,318.89,122.5,O2,0.25,WD2,32.46
0.86,588,293.93,147,O2,0.25,WD4,29.47
0.98,514.5,293.35,110.25,O5,0.25,WD4,28.62
0.98,514.5,293.44,110.25,O2,0.1,WD5,24.35
0.86,588,294.42,147,O3,0.25,WD4,28.42
0.98,514.5,293.59,110.25,O2,0.1,WD3,24.28
0.98,514.5,294.93,110.25,O5,0.4,WD2,32.72
0.98,514.5,293.2,110.25,O4,0.1,WD4,24.04
0.98,514.5,293.65,110.25,O2,0.1,WD2,24.29
0.82,612.5,318.74,147,O3,0.25,WD2,25.98
0.9,563.5,319.19,122.5,O4,0.4,WD1,36.66
0.86,588,293.37,147,O4,0.4,WD3,32.05
0.82,612.5,318.03,147,O3,0.25,WD5,25.17
0.82,612.5,318.62,147,O4,0.1,WD3,24.17
0.86,588,293.35,147,O5,0.25,WD2,28.4
0.86,588,294.4,147,O5,0.1,WD1,25.27
0.86,588,293.38,147,O2,0.4,WD2,32.48
0.86,588,294.53,147,O4,0.1,WD3,26.89
0.98,514.5,294.74,110.25,O3,0.4,WD4,32.67
0.9,563.5,318.67,122.5,O2,0.25,WD3,31.63
0.98,514.5,293.93,110.25,O2,0.25,WD5,28.69
0.86,588,294.57,147,O2,0.1,WD2,26.48
0.9,563.5,319.13,122.5,O4,0.4,WD5,34.72
0.9,563.5,318.32,122.5,O4,0.1,WD2,28.83
0.82,612.5,318.33,147,O2,0.1,WD5,24.37
0.82,612.5,318.12,147,O2,0.4,WD2,28.95
0.82,612.5,318.73,147,O4,0.1,WD1,23.54
0.82,612.5,318.59,147,O2,0.1,WD2,23.75
0.98,514.5,293.26,110.25,O4,0.25,WD1,28.37
0.82,612.5,318.38,147,O4,0.4,WD3,29.47
0.86,588,293.7,147,O2,0.4,WD5,32.31
0.98,514.5,293.3,110.25,O3,0.1,WD1,24.63
0.86,588,294.96,147,O4,0.25,WD3,29.43
0.82,612.5,319.2,147,O3,0.4,WD4,28.05
0.98,514.5,293.4,110.25,O5,0.4,WD1,32.53
0.82,612.5,318.07,147,O2,0.25,WD2,25.74
0.98,514.5,293.72,110.25,O3,0.1,WD3,24.4
0.98,514.5,294.66,110.25,O5,0.25,WD1,28.41
0.82,612.5,319.43,147,O5,0.1,WD1,22.58
0.98,514.5,293.01,110.25,O3,0.1,WD5,24.33
0.98,514.5,293.8,110.25,O3,0.4,WD1,32.26
0.86,588,294.83,147,O5,0.4,WD2,31.64
0.98,514.5,294.44,110.25,O3,0.4,WD2,32.71
0.86,588,293.63,147,O4,0.25,WD2,29.27
0.9,563.5,318.55,122.5,O3,0.1,WD3,29.01
0.98,514.5,293.29,110.25,O3,0.25,WD4,28.55
0.86,588,293.1,147,O2,0.25,WD2,29.34
0.86,588,294.62,147,O2,0.25,WD5,29.71
0.9,563.5,318.96,122.5,O3,0.4,WD4,35.73
0.82,612.5,319.06,147,O2,0.25,WD1,26.84
0.98,514.5,293.04,110.25,O4,0.1,WD1,24.63
0.98,514.5,294.8,110.25,O2,0.4,WD3,32.82
0.82,612.5,318.5,147,O4,0.4,WD2,28.64
0.82,612.5,319.29,147,O5,0.25,WD5,25.49
0.9,563.5,317.69,122.5,O5,0.4,WD5,35.24
0.98,514.5,294.85,110.25,O5,0.1,WD2,24.25
0.86,588,293.61,147,O5,0.4,WD1,31.29
